名字,正文,时间,text_result
"
哈尼大大爱看剧1",戴口罩 戴口罩 戴口罩 消毒 消毒 消毒 毕竟医院不是什么好地方 爱护自己 爱护他人 ,20191208-20200122,
"
安拉胡阿克巴O_o",已经治好十来个了????????死了几个好像????并不是没有治愈的可能啊????武汉有国家病毒研究室已经是国内顶尖了??????我们能做的是不添堵 就好????自己注意防范 ,20191208-20200122,
"
HelloKitty圆脸猫",备好口罩～ ,20191208-20200122,
"
HelloKoki_",@那片星空触碰得到却感受不到 ,20191208-20200122,
"
梦惜年i",这个好好看看 少去人多的地方 勤洗手戴口罩很重要啊 快过年了姐妹们小心一些 ,20191208-20200122,
"
Baymax许陈",出门在外，各位照顾好自己呀！ ,20191208-20200122,
"
ParasiticMoonlight",害 你知道的太多了 ,20191208-20200122,
"
千万个见你的理由",注意防范，人多的地方要戴口罩啊！ ,20191208-20200122,
"
黄灯是等待",正感冒的我心慌慌 ,20191208-20200122,
"
我是雨女无瓜",好的哥 ,20191208-20200122,
"
某不想我瘦的longer",#阳光信用# #每日一善# 转发 ,20191208-20200122,
"
不想努力了阿",刚开完军运会，有没有可能。。。。 ,20191208-20200122,
"
跳跳7788521",防患于未然 ,20191208-20200122,
"
短腿魏二",这次肺炎的初发地是武汉，这是已经确定的事实，所以要形容这次肺炎的话可以说是新型肺炎或者武汉肺炎，武汉肺炎要更明确一点，让人一看就懂 ,20191208-20200122,
"
企鹅小黄人",转发微博 ,20191208-20200122,
"
主角配角cyx",广州深圳也有了，还好你那里不算人特别多，你要多注意不要去人多的地方了 ,20191208-20200122,
"
ICU_I4CU",为了区别非典和别的肺炎吧。源头是武汉吧，目前没有发现别的源头，吧。 ,20191208-20200122,
"
零zero_1995",二月份去深圳有点担忧 ,20191208-20200122,
"
用戶胖魯達",我请求，呼吁，请你们在车站机场的医疗中心配备免费或有偿的医用口罩。 ,20191208-20200122,
"
大肥饲养员",我也是！！我好怕 ,20191208-20200122,
"
小小雨牛",冠状病毒主要传播途径飞沫传播和接触传播。 ,20191208-20200122,
"
大九山小九山",@名人堂_公子 @每日教师招聘打卡 ,20191208-20200122,
"
小兔子乖乖把门开开--",怎么办，我中午刚吃了白切鸡 ,20191208-20200122,
"
Raingo_Yu",怎么出现的？ ,20191208-20200122,
"
CIARAN6",看来异地不苦了 ,20191208-20200122,
"
爱吃的小仙女在这",get ,20191208-20200122,
"
请叫我teng",网上不会看，平时都是那种十几元一次性的、小伙伴是否有合适的可以推荐下吗 ,20191208-20200122,
"
Yannnik_",@-董大嘴 ,20191208-20200122,
"
9u0yuwe1",放屁 ,20191208-20200122,
"
榻玛塔塔窦妮婉星球",@王菜菜王菜菜 ,20191208-20200122,
"
单桂敏艾灸",治未病不治已病，我想这一点大家都应该清楚。 那么对于预防肺炎，提升人体的免疫力，提高人体的正气，我想只有艾灸是一种非常简单好用的方法。 ,20191208-20200122,
"
只用o倒您拉_zX",这也太有意思了吧 ,20191208-20200122,
"
再睡一会叭",好滴 ,20191208-20200122,
"
shinefun2019",作为官方，为啥要打“武汉肺炎”，这么不专业，他已经有医学名字了呀！！！ ,20191208-20200122,
"
益达菌",@秋风叠云  ,20191208-20200122,
"
土匪2703",别流动祸害人了 ,20191208-20200122,
"
闪美芽啊",保护我 ,20191208-20200122,
"
可以改名称了",我家养了两只鸡在阳台，会有影响吗？衣服会不会。。。 ,20191208-20200122,
"
年糕辣酱配清酒",@sEva20 ,20191208-20200122,
"
你终于来了呀ya",@我终于来了呀ya ,20191208-20200122,
"
shinefun2019",感觉现在的媒体为啥要标上“武汉肺炎”是否客观？ ,20191208-20200122,
"
划破繁星",这两天一直乏力，发热的我瑟瑟发抖 ,20191208-20200122,
"
古玥轩2018",此次生化病毒，本人早就作了预警，不信者，可查前博。本人网络微博还被封拦！ ,20191208-20200122,
"
今天也想喝长岛冰茶阿",我出门都是见你 ,20191208-20200122,
"
嚼字咬文天才",那年非典也是怎么说的 ,20191208-20200122,
"
树叶的信条",转发微博 ,20191208-20200122,
"
-是Ryan鸭",好呢，我买了口罩了哦瑞恩 ,20191208-20200122,
"
盘珠落",这图不错！！！都看看 ,20191208-20200122,
"
八月玺烊烊",戴口罩，勤洗手，多消毒，少去人多的地方 ,20191208-20200122,
"
九色鹿海韵",@BIGBIGBIG_CAT ,20191208-20200122,
"
能指出月亮方向但手指不是月亮",Mark ,20191208-20200122,
"
章啊毛噶",@奶不离嘴 快来看！ ,20191208-20200122,
"
想吧唧你的小肥脸",我也是最近这几天出现干咳，但不发热也不头痛，看到这条微博还是怕怕的。。。 ,20191208-20200122,
"
大机灵杨",@AA由我不由天 ,20191208-20200122,
"
家养娇叔_",预防病毒 ,20191208-20200122,
"
会飞的心2009",春节还是老实呆在家里 ,20191208-20200122,
"
行走的翻译C",过年就待在家里盯盘吧。 ,20191208-20200122,
"
大胃阿倩",@高桥凉介_5 ,20191208-20200122,
"
又放辣椒",@M先森今天开心 ,20191208-20200122,
"
欸我的尾巴呢",有的可以发～你问下客服????不能发的都会标注 ,20191208-20200122,
"
郑小姐0612",记得带口罩，朋友们 ,20191208-20200122,
"
柠檬味的荼靡",收好这份指南?? ,20191208-20200122,
"
2020沧海一粟",预防为主，不到人流密集的地方，出门戴口罩，不接触野生畜禽。希望大家都能够过一个平安祥和快乐的春节。 ,20191208-20200122,
"
你窗外的月亮·",@我能改名字了吗 ,20191208-20200122,
"
王健坤的故事",@可可嘟嘟粉 ,20191208-20200122,
"
二师兄--_26729",@五官彩虹喵 ,20191208-20200122,
"
宅男沈先森",广而告之… ,20191208-20200122,
"
超稀饭咕咕典oO",都害怕啥，这次不严重 ,20191208-20200122,
"
你知道为啥",@不爱吃小丸子的章鱼 ,20191208-20200122,
"
陈大樹-",放屁 明明比非典还要严重 ,20191208-20200122,
"
ParasiticMoonlight",嘻嘻我还指着因为这个学校延长假期呢 ,20191208-20200122,
"
唉呀妈呀_凡",我也是，就在刚刚发烧了 ,20191208-20200122,
"
木子一月月的垃圾筒",对于长期得接触密集人群的工作怎么办 ,20191208-20200122,
"
青蛙王子-",@东北小伙爱吃锅包肉 ,20191208-20200122,
"
沈云谦",就是个带节奏的僵尸号 ,20191208-20200122,
"
疯了的癞蛤么",注意了 ,20191208-20200122,
"
YJun阿柴",听医生的吧还有官方声明的吧。我也上火了。肯定要注意，因为上火了就是抵抗力差了。 有一点原因。 ,20191208-20200122,
"
LY__焱",公共交通司机,20191208-20200122,
"
Sssunny长点心",@望浩楠 ,20191208-20200122,
"
悦ear悦耳",想咨询一下，不去海鲜市场，那海鲜能吃麽？？过年了，急急急 ,20191208-20200122,
"
夏之杨John",不要吃鱼，不要吃肉，不要跟男女朋友接吻，不要跟老公老婆同床..，不要... ,20191208-20200122,
"
小乔喵喵Rainie",2020年开年不久就发生了这么多事。 先有孙文斌杀医，飞越王小琴，故宫开大奔，台湾蔡连赢，香港扔混乱，今又有非典型 ,20191208-20200122,
"
阿瑾13",回家要杀鸡杀鸭怎么办 ,20191208-20200122,
"
aubryxxxx",@啧啧啧朱君文_ ,20191208-20200122,
"
杰森爱凯文",@WanGhuii_ ,20191208-20200122,
"
原来是仄扬的人",@我希望的希望卍 要多注意啊 ,20191208-20200122,
"
河马婶",好呢 ,20191208-20200122,
"
Jiao什么昵称还没想好",转发微博 ,20191208-20200122,
"
世界上最幸福的五岁儿童",并没有…… ,20191208-20200122,
"
是小荭",过年还能吃鸡鱼吗 ,20191208-20200122,
"
一只佳丽",@RedLin- ,20191208-20200122,
"
风月山川",那为什么出院率这么低！还有就是其他地方发现的病例和武汉本地的是什么关系？ ,20191208-20200122,
"
Doris_____L",@Kevin__dd ,20191208-20200122,
"
August-Archer",我鼻涕最近流的有点多 ,20191208-20200122,
"
易先生的四叶草",#广东确诊1例新型冠状病毒感染肺炎病例# 注意注意 ,20191208-20200122,
"
土豆片片2013",移民 ,20191208-20200122,
"
看不见得花儿",啊哈哈哈哈 ,20191208-20200122,
"
August-Archer",速速买口罩，我可不想过大年还生病 ,20191208-20200122,
"
稳态生产者",学医的同学应该都懂得什么是“人体的内环境稳态”，而我是“稳态生产者”。用我的方法能从容应对应对“武汉肺炎”，谁敢一试？ ,20191208-20200122,
"
大茹zz",@茶叶蛋yl @cmx_4444 @阿宋小姐s ,20191208-20200122,
"
在北京的合肥人",一般专家说可控，那就… ,20191208-20200122,
"
swy5909042796",忽悠，继续忽悠 ,20191208-20200122,
"
桃喵ttt",上火真的容易感染吗？ ,20191208-20200122,
"
多加香菜不要葱SU",天呢真的要天天戴口罩了！ ,20191208-20200122,
"
克州网警巡查执法",转发微博 ,20191208-20200122,
"
YJun阿柴",你是医生吗真的假的 ,20191208-20200122,
"
_Spring_Submarine",@呼啦啦骑士 注意预防 ,20191208-20200122,
"
李逼的志",@真的不多啊 ,20191208-20200122,
"
是笨猪猪呀",你也是哦 出门戴口罩噢 ,20191208-20200122,
"
趁阳光正好81904",咳嗽发热还在武汉的我更加害怕?? ,20191208-20200122,
"
羲蜴",物竞天择，没有病毒可以摧毁全人类。人类不会灭绝，问题不大。 ,20191208-20200122,
"
QIn丶XiaNFen",？？？？？？？ ,20191208-20200122,
"
会宠女朋友的小洋同学",北京已经哎…… ,20191208-20200122,
"
长岛冰茶今天也想喝阿",少出门 ,20191208-20200122,
"
三上晓",在病毒元凶还没确定之前，人已经抓了几个 ,20191208-20200122,
"
我想养乐多鸭",@主角配角cyx 看清楚啦小宝贝 ,20191208-20200122,
"
Yo肖泡泡",我也上火了，我这就吃药去，嗯对，这就去 ,20191208-20200122,
"
BlueAngust",转发微博 ,20191208-20200122,
"
卿卿老公最帅了",太好理解了 ,20191208-20200122,
"
皮皮猫的皮皮啊",吓得我赶紧去买个口罩?? ,20191208-20200122,
"
别拿我小熊r",这真的就放心多了 ,20191208-20200122,
"
徐东升976",自己家养的鸟传染吗？ ,20191208-20200122,
"
椰岛阳明",扩散了，不好对付吧? ,20191208-20200122,
"
ZGrzy",@晗锅锅吃火锅 ,20191208-20200122,
"
今天也想喝长岛冰茶阿",@长岛冰茶今天也想喝阿 ,20191208-20200122,
"
cc_Mangoes",简单来说，和引起非典的SARS病毒是近亲，但温和很多。但非典可没赶上春运，你细品 预防起来，准没错 ,20191208-20200122,
"
一只永远爱宝宝的子路",你家有吗 ,20191208-20200122,
"
黑虎泉2007",大青叶配黄芪，增强免疫力。感冒初期，莲花清瘟及大青叶制剂干起来。 ,20191208-20200122,
"
黃飛雄HOT",马上要去上海…… ,20191208-20200122,
"
黑虎泉2007",大青叶配黄芪，增强免疫力。感冒初期，莲花清瘟及大青叶制剂干起来。 ,20191208-20200122,
"
风吹残雪808",喝板蓝根有用没 ,20191208-20200122,
"
不是一丶可爱",@哎唏呸 @Gnomeshghya ,20191208-20200122,
"
婈蓮喵喵",莫慌莫恐，小心预防，谨慎出行，护己周全。。。愿每个你安好！大寒吉祥大寒不寒。。。?? ,20191208-20200122,
"
狗子小老头",可以转微信吗？ ,20191208-20200122,
"
gowii",想想军运会！！！还有你这种没文化的真的不知道病毒对基因种类是有特殊效果的。这不是危言耸听。我们只是怀疑，你的美国爹，不是用奶粉当炭疽热病毒就打了伊拉克吗？//@沈浪的车江湖,20191208-20200122,
"
刚许过愿",今天的热搜，艾老师早就预测到了 ,20191208-20200122,
"
成天笑X",笑死姐了 今天外交部这个热搜 让我突然想到我曾经因为这个被人狙过 被人骂过 现在看看 每个人都有可能成为小丑 大家说话不要太难听 真的 给自己留条后路 留点脸面 ,20191208-20200122,
"
成天笑X",抱歉 碍着您眼了 ,20191208-20200122,
"
琳皓-R",都几百年了才跟我抖机灵？？！，病毒毒株你检测出来能干嘛？真以为拿出来别的国家相信？，没有美国的实力，能拿个小瓶洗衣粉就开战？？，马绍尔群岛，危地马拉都不知道？什么年代了还不知道？跟个傻子一样，觉得美国真善美呢？，日本731都是小儿科，人家美国才是最强王者。 ,20191208-20200122,
"
糯米米冰激凌",那你又懂个毛线？ ,20191208-20200122,
"
很猛的蜗牛丶",跟你个傻子科普一下 人工改造过的病毒毒株可以通过基因测序发现的 ,20191208-20200122,
"
很猛的蜗牛丶",打脸吗 屁都不懂 一天就知道出来哔哔哔恶心人 ,20191208-20200122,
"
很猛的蜗牛丶",打脸吗 屁都不懂 一天就出来哔哔哔 ,20191208-20200122,
"
很猛的蜗牛丶",打脸吗 屁都不懂 一天哔哔哔 ,20191208-20200122,
"
很猛的蜗牛丶",为啥屏蔽 听他们说这个人不是个教授么 ,20191208-20200122,
"
silentstorm777",你这憨批脸都给打肿了 ,20191208-20200122,
"
牧畜鉴定中心",转发微博 ,20191208-20200122,
"
夏日的云清",朋友，来问候一下你，你还坚持你的观点吗？ ,20191208-20200122,
"
琳皓-R",太搞笑了，你这脑子简单的呦。现在新冠肺炎，美国人自己都知道他们的生化病毒库泄露了，武汉军运会，航母士兵感染等等证据确凿……真是啪啪打你脸啊，你个old公知回头再看看你说的话，跟放屁一样 ,20191208-20200122,
"
琳皓-R",哈哈，笑死我了，还不相信阴谋论呢，这么天真的吗？，美国人自己都知道美国生化病毒库泄露，航母士兵感染等等证据确凿，，回头再看看你这个憨憨，确实太好玩了。 ,20191208-20200122,
"
琳皓-R",回头再看你这个公知说话，真是像个憨憨。……“被害妄想症”，呵呵，美国生化病毒泄露 美国人自己都知道。 ,20191208-20200122,
"
琳皓-R",回头再看看公知说的话，真是可笑，这么坚定的说着扯淡，这么肯定的说着瞎说。现在美国生化病毒??暴漏了，真是打脸…… ,20191208-20200122,
"
成天笑X",好多消息都这么说 ??评论配图 ,20191208-20200122,
"
倒影01799",有，最近还有外国人在国内地铁上摸鼻涕 ,20191208-20200122,
"
我是鸡哥小美丽",抗战防疫进行时 ,20191208-20200122,
"
罗小黑赛高",插 ,20191208-20200122,
"
九月之声星星",如果真是美国制造，就这么不了了之了？ ,20191208-20200122,
"
脚丫满天",这里面单细胞生物不少。 ,20191208-20200122,
"
Talentreet表哥顾",三十年前中国人的智商是这样的？ ,20191208-20200122,
"
改不起昵称的穷鹅",转发微博 ,20191208-20200122,
"
小七不污",回来考古 造谣舒服吗 ,20191208-20200122,
"
小七不污",回来考古 感染的全是华裔 嗯 憨批 现在来骂你应该算有理有据吧 ,20191208-20200122,
"
百山",@Andrzzz ,20191208-20200122,
"
郭一波Boy",肯定相信阴谋论，无风不起浪 ,20191208-20200122,
"
岁月如歌07571",意识你在这无凭无据否认专家就不是瞎说，美国是好东西吗，多少钱说出来一块赚呗，这玩意儿是给大学生上的军事理论课，如果不是有相关依据，拿出来给大家讲，请问宁上过大学?? ,20191208-20200122,
"
雪莎莎莎233",我想起了战狼一，感觉，真的很有可能 ,20191208-20200122,
"
浪花一朵朵朵朵朵朵朵朵朵",仔细看，有点像口型对不上 ,20191208-20200122,
"
约德尔小炮手",@浪花一朵朵朵朵朵朵朵朵朵 这个说法。。。 ,20191208-20200122,
"
谁家的安卿呐",目前sars2出现了全球流行的趋势，那些说sars2是欧美人工制作投放的，看清楚了没？ ,20191208-20200122,
"
孤独89292",现在还是这样想，你不会相信阴谋论吧， ,20191208-20200122,
"
郭一波Boy",现在呢，你又是怎么想 ,20191208-20200122,
"
吃吃吃吃吃吃吃口吃",华大基因等好几家 ,20191208-20200122,
"
这里有人来过",@AndryLauda ,20191208-20200122,
"
锦绣书香",病毒战 ,20191208-20200122,
"
富湾拉弯弯圆厂",那这么说，美国白人的血清就是解药 ,20191208-20200122,
"
1997-00-00",去联合国告状 ,20191208-20200122,
"
光影之末",真扯淡 ,20191208-20200122,
"
1997-00-00",了解下人家是谁并不难????一次是巧合两次还是巧合？更何况只有中国人得就踏马不算巧合 ,20191208-20200122,
"
会灰的翔翔翔",我是从这个视频看完了知道这个老师的，然后去看了他的军事理论公开课视频的，很正。如果这是真的话，那么钟院士说武汉是一个英雄的城市，也是一个被选召的城市 ,20191208-20200122,
"
佐为君",会思考的病毒 ,20191208-20200122,
"
企鹅小师傅",@昆明网警巡查执法 这个是不是造谣？要不要把这个教授抓起来？ ,20191208-20200122,
"
爱晴天的凡",看不懂人话就少tm阴阳怪气 ,20191208-20200122,
"
漯河周杰伦",抖激灵抖机灵 就知道抖机灵 ,20191208-20200122,
"
无产阶级社会主义",而且还是军运会之后，还刚好美国在制裁伊朗 ,20191208-20200122,
"
-----------viosio",非典大部分影响的是加拿大都是华裔，谢谢 ,20191208-20200122,
"
厦医吴彦祖",sb ,20191208-20200122,
"
觉而后知其梦",基因病，你需要补课 ,20191208-20200122,
"
快乐shanlihong",原来隔壁老王还喜欢你？ ,20191208-20200122,
"
猪啤che",米果仁#超级碗#---礼尚往来???? ,20191208-20200122,
"
无锡市太湖街道葛晓良是坏人",这个人骗子吧，军装不像正常人的。而且这个也不归部队管吧。说给大众又是什么意思。 ,20191208-20200122,
"
陈丫头的保膘",可怕 ,20191208-20200122,
"
-oha-",美国自己不会测基因吗 找个华人小孩自己测就可以了，美国国内各种人种都有 ,20191208-20200122,
"
-小耳朵3",@陈丫头的保膘 ,20191208-20200122,
"
张彦琴2658",基因… ,20191208-20200122,
"
凝望崖山",是是是，你没说美国采集基因。秀才遇到兵，有理说不清。 ,20191208-20200122,
"
-oha-",国人缺乏独立思想，大部分都是人云亦云。如果是美国放毒，我觉得应该感谢美国????因为可以让战狼们看看他们天天吹的政府是多么低效迂腐????下次他们可能领悟到天天吹高铁是多么可笑的事情 ,20191208-20200122,
"
-oha-",都放毒了，干嘛不放厉害点的 ,20191208-20200122,
"
-oha-",想象力这么丰富干嘛不写书啊 ,20191208-20200122,
"
-oha-",美国难道没华人小孩吗？用得着买吗？ ,20191208-20200122,
"
苏打小饼干Amee",野生动物真的冤，次次背锅 ,20191208-20200122,
"
kkkkkilll少校",劝你多读读书，其他没什么说的！ ,20191208-20200122,
"
无知不是罪不去提升才是罪",觉得可能性不大，但也不是没可能。 ,20191208-20200122,
"
是米米菌呢",吓得我马上把手机扔了 ,20191208-20200122,
"
是米米菌呢",你傻任你傻，真相却不假 ,20191208-20200122,
"
tkhsnnxk",我有说过美国进行基因采集?我只是告诉你一下，华裔占比很少。华裔和大部分美国人基因有差异，你再回答我一下你对中国籍黑人的看法和美国华裔的地位，哈哈哈不要把每个人想得那么好，你在这里辩出天际也不能改变什么 ,20191208-20200122,
"
凝望崖山",美国确实有大量移民来自欧洲，但也有大量的印度、非洲、拉丁美洲移民，占了人口比例相当大的数额。你放心，我看的历史绝对比大多数人包括你在内的多。所以，你还没回答我，收集华裔基因跟美国是否把华裔当作自己人哪里有关系？华裔的经济条件又跟美国采集基因有什么冲突的地方？ ,20191208-20200122,
"
储丰大叔",吹牛逼吧，有证据证明那还不发生战争？反正我不信有证据 ,20191208-20200122,
"
Seven7MoNstER",果真是个脑瘫，我知道你说的什么新闻，自己去查查华大基因是受的什么处罚，再查查科技部的职权，建议您百度呢，别不过脑子 ,20191208-20200122,
"
青椒蕃茄poi",你们这么聪明，怎么不去发个论文验证美国阴谋，世界那么多科学家都闭嘴了，就你们发现了？看来灌输教育挺奏效的，灌输出被害妄想来了 ,20191208-20200122,
"
沈浪的车江湖",你有脸谈文化水平，你的文化水平就是莫须有的造谣和臆测么 ,20191208-20200122,
"
kkkkkilll少校",你脸脑子都不过，还翻译？百度翻译？看来说你没脑子是高看了你！ ,20191208-20200122,
"
kkkkkilll少校",你最好了解一下ace2蛋白，问题是亚裔的表达水平是白种人的五倍，欧美人会得病，但是危险度远低于亚裔，感冒也会死人，欧美人因为sars才死了几个，一共也才感染了几个？可不可以动动脑子？ ,20191208-20200122,
"
kkkkkilll少校",你是不是实在文化水平有限？你关注的重点是只能看懂前几个字？ ,20191208-20200122,
"
沈浪的车江湖",日了狗了，现在改成黄种人了？ ,20191208-20200122,
"
kkkkkilll少校",黄种人的肺细胞会表达一种ace2的蛋白，大概是白种人的五倍，新型冠状病毒和sars都会以此为受体，所以黄种人往往病情严重，而其他人种症状轻微甚至没有！ ,20191208-20200122,
"
kkkkkilll少校",只是在蝙蝠体内找到了相似的冠状病毒而已，你花一分钟百度的结果就要推翻别人的合理推测，你有脑子么！ ,20191208-20200122,
"
又菥鱼",埃博拉……不是也分人种吗？ ,20191208-20200122,
"
Seven7MoNstER",真是脑残的真实，别来恶心我好吧，你没脑子不配跟我提过脑子，我求你把具体新闻链接甩我脸上，我也不知道你能不能看懂新闻，我可以无偿给你翻译 ,20191208-20200122,
"
kkkkkilll少校",脑子有毛病 ,20191208-20200122,
"
kkkkkilll少校",你过脑子了？这件事确实有，去百度一下很难么？ ,20191208-20200122,
"
Koszalin",现在真的到了生死存亡的地步了。不敢上街，街上也没店铺开门，快递不上班没法网购，老子都快没吃的了，快要饿死了。想不到老子竟然会被美国白皮猪害死，太憋屈了。天朝啊，给美国扔几颗氢弹吧！ ,20191208-20200122,
"
Koszalin",建议对美国实施核打击，大不了同归于尽。 ,20191208-20200122,
"
Huohuohuoer",网课也不一定就是可信度高噢，这个教授还有一门讲社交的网课，他在课上说女生穿黑丝短裤就是不要脸 ,20191208-20200122,
"
tkhsnnxk",白人至上主义，种族主义。你不会真以为美国是人人平等的圣母吧。美国的移民来自于欧洲，你多学学历史 ,20191208-20200122,
"
凝望崖山",你当美国跟中国一样是民族国家呢？哪个美国人祖上不是从别的国家过来的？而且收集华裔基因跟美国是否把他们看作自己人有冲突吗？跟华裔医疗条件好有关系吗？你这人说话根本逻辑混乱不着边际。 ,20191208-20200122,
"
Sicily__y",@Episode-- ,20191208-20200122,
"
街拍正能量",那就正好證明了，這次肺炎只是跟蝙蝠基因是不一樣的，只是相似 ,20191208-20200122,
"
123玄聰子",证据是不会给老百姓看滴 ,20191208-20200122,
"
我有个阿sir",我脑子进没进了你，还得做ct才能知道。但是，华裔的发病率比白皮猪高那么多，你们精神美国人不怕嘛？ ,20191208-20200122,
"
1NANE",你和猴子的基因99.99％相似，你是被基因改造出来的吗 ,20191208-20200122,
"
街拍正能量",然後它們的基因是百分之99相似，怎麼證明 ,20191208-20200122,
"
Ben-Y_Design",2019年10月18日到10月27日，世界军运会在武汉举行，美方派出369名军人参加。 但吊诡的是，体育实力强大的美方，这次竟然没获得一块金牌。 相反，在武汉街头各处，多了几百个“热爱中国文化”、四处“游玩”的美国军人。 ,20191208-20200122,
"
貌如一帘幽梦",跪下吧 ,20191208-20200122,
"
貌如一帘幽梦",全网屏蔽艾跃进视频，微博竟然还在 ,20191208-20200122,
"
阿伟的小hao",官方的说法是野生市场让本来不会互相接触的两种野生动物发生了接触，导致病毒变异 ,20191208-20200122,
"
Sugar_阿糖",有点战略头脑总没有错 ,20191208-20200122,
"
街拍正能量",就算不是，中国在非洲还有其他合作工程的，比如建筑，矿物 ,20191208-20200122,
"
成天笑X",√ ,20191208-20200122,
"
夜空彼岸五彩斑斓",说了也没用，你公开披露相当于宣战，现在要韬光养晦 ,20191208-20200122,
"
Yo小远远",你没证据你也别乱说，你有证据证明不是吗？ ,20191208-20200122,
"
独善其身7816",有些东西是不需要证据证明，你也拿不到证据，等你50岁了，你就明白了，见多了，就懂了。 ,20191208-20200122,
"
失其圭臬",一带一路重点是欧洲中亚和俄罗斯啊，一带根本和黑非洲没有半点关系，一路也只是稍微辐射到非洲印度洋沿岸有限的几个国家 ,20191208-20200122,
"
街拍正能量",一路一带，中非合作的项目 ,20191208-20200122,
"
不知归途313",几何中心有什么用，交通又不方便！交通运输中心才有意义！ ,20191208-20200122,
"
热饮一杯风油精",确实不能乱造谣，不过这就算是真的，没有确凿的证据，即便有国家也不太可能说什么，还真先做好眼前，减少不必要的恐慌。 ,20191208-20200122,
"
伸到你家的15倍镜",兄弟加狗头保命啊 ,20191208-20200122,
"
猪弟壳膜的心上熊",@钮钴禄·鹿小葵 葵姐康康这个 ,20191208-20200122,
"
W月宏",中国为对抗病毒暂时对武汉‘封城”，这是为了控制病毒扩散，美国在一边说风凉话看戏，还干涉中国内政，说什么侵犯人权。亲，好歹祖辈几代都是中国人，卖国求荣的事别做好嘛。 ,20191208-20200122,
"
Steel_1897",你这个叫抬杠 ,20191208-20200122,
"
亦雯亦伍",这个视频应该是假的，把声音换了，即使说的是真的，也不可能让我们知道的。 ,20191208-20200122,
"
吕熊熊的猫猫",死人的话，听听也就听听…… ,20191208-20200122,
"
呼呼呼呼萝卜QS",我倒是希望你再多说几遍山大的学生呢 ,20191208-20200122,
"
M猪哔哔M",原来是山东大学的女学生，懂了，懂了 ,20191208-20200122,
"
呼呼呼呼萝卜QS",你已经得了这个病 ,20191208-20200122,
"
呼呼呼呼萝卜QS",他们脑子可能卡屎了吧 ,20191208-20200122,
"
小皮都这么多人",我一直知道某国一直在我国几大地区像河南山东等地通过各种渠道获取中国人的血样和dna，研究我们的基因，不会单单就是为了玩的 ,20191208-20200122,
"
为了SCI",你摸不透代表咱水平不够，这是必须承认的 ,20191208-20200122,
"
风不二",还有一点要告诉你这个傻货，非典的病毒是在果子狸身上找到的，但是它只是中间宿主，最源头的宿主并没有找到，不一定就是是网上说的蝙蝠，那只是和非典相似病毒，不是一样的。这次的病毒即便最后能在海鲜市场某种动物身上找到，也只是中间宿主。懂了吗？多看点文章，不要充当傻白甜，拉低中国人的智商！ ,20191208-20200122,
"
秋衣少侠",你太善良了 ,20191208-20200122,
"
小胖宝宝昌",丫特么都死了 ,20191208-20200122,
"
脑残粉没有亲人",太平盛世过久了，最起码的忧患意识都丧失了 ,20191208-20200122,
"
风不二",你这种没脑子的人没有一点辩证思维能力。他是22号说的，说来自于野生动物，但是来自什么动物呢？哪一家卖的动物呢？最开始感染的是谁呢，4天过去了，全国人民和无数媒体怎么都没有找到呢？非典的病毒源头到现在10多年都没有找到呢！他老兄几天就能确定病毒源头？恐怕是媒体的断章取义。 ,20191208-20200122,
"
风不二",别说没用的，把那个说过“确定”病毒是来自武汉海鲜市场的“专家”给我找出来。 ,20191208-20200122,
"
风不二",哪个专家说的？哪个专家确定是海鲜市场的野味带了病毒？哪种野味带的病毒？注意是“确定”哦，不是那种“好像”“可能”之类的，你给我找出来，你找出来我同样给你吃了。 ,20191208-20200122,
"
风不二",我说的就是SARS病毒。云南只是发现了携带近似SARS病毒的蝙蝠。注意是“近似”，不是完全一样的。这个报道和文章我仔细看了的。 ,20191208-20200122,
"
风不二",我说东你说西，我让你找出确定是野生动物传播的权威链接你在和我扯打仗不打仗。你是连幼儿园小朋友的理解能力都没有吗？好吧，为了照顾你的智商，我再和你说明白点，警察如果在一个房间里发现一个人死了，你说他要不要先排除他杀呢？是有多蠢的人会认为世界没有坏人，这个人肯定是自杀不是他杀呢？ ,20191208-20200122,
"
耿耿耿耿1",华大基因出卖华人基因被罚 ,20191208-20200122,
"
你看着很好吃0112",请问，美国乙型流感，1200万人感染，是外星人投毒吗 ,20191208-20200122,
"
你看着很好吃0112",美国乙型流感，1200万人感染，是外星人投毒吗 ,20191208-20200122,
"
Leahy2015",讨论病毒？当年731部队不记得了， ,20191208-20200122,
"
亦雯亦伍",这个视频应该是假的，把声音换了，即使说的是真的，也不可能让我们知道的。 ,20191208-20200122,
"
吕熊熊的猫猫",死人的话，听听也就听听…… ,20191208-20200122,
"
呼呼呼呼萝卜QS",我倒是希望你再多说几遍山大的学生呢 ,20191208-20200122,
"
M猪哔哔M",原来是山东大学的女学生，懂了，懂了 ,20191208-20200122,
"
呼呼呼呼萝卜QS",你已经得了这个病 ,20191208-20200122,
"
呼呼呼呼萝卜QS",他们脑子可能卡屎了吧 ,20191208-20200122,
"
小皮都这么多人",我一直知道某国一直在我国几大地区像河南山东等地通过各种渠道获取中国人的血样和dna，研究我们的基因，不会单单就是为了玩的 ,20191208-20200122,
"
为了SCI",你摸不透代表咱水平不够，这是必须承认的 ,20191208-20200122,
