名字,正文,时间
"
涝千玺的小漂亮",你去请医院在你家安置病床吧????说不定政府还会给你来一个大奖励呢 ,20200123-20200207
"
maitian2006",奇葩呵呵 ,20200123-20200207
"
销魂随风飘散1711",我说在这基础上搞，有什么问题吗？图片是把床给挡着了，这没问题!????你就确定桌子什么的不会用到吗?非要杠?? ,20200123-20200207
"
今年还能改名啊",让我歇一个月不上班的话，我3000多租的房子在那放着，房租都交完了，随便用！你们不用上班，知道这时候不得不坐高铁一个人回去住租的房子，每天还得出门挤地铁的上班族在外有多恐慌吗。说起换位思考，你们不用出门的学生，想过那些每天出门上班、采购的人多担心病毒，多希望病毒赶紧控制住吗 ,20200123-20200207
"
遵纪守法但不是什么好人",优越感来源保密理由挺让人不好意思的。我坚持我的观点，为生命让步的同时保证隐私权有何不可?不要给我乱扣帽子，来证明自己，这样只会更贬低自己让人产生你所谓的优越感。 ,20200123-20200207
"
Andyjin666",我的意思是武汉乃至湖北应该更早征用市委党校，国有接待所，宾馆等，做轻症或疑似观察隔离。早一点观察隔离治疗，就少一批被感染的人。武汉1月中上旬就一床难求了，很多影像学基本可以确诊的，每天还是家里医院两头走，照常买菜等。越严重的地方不应该越早采取这样的措施吗？难道让患者在家自生自灭吗 ,20200123-20200207
"
我怂我窝囊",呸！我他么的亲人在湖北为你们用命在拼！征用你个宿舍你说国家脑残，和你讲道理，你说不过就骂人，服啦无语，只好祝愿病毒… ,20200123-20200207
"
Yiwexvhb",对，当时气炸了，我想着暑假时间长，就把箱子放在叠好的被褥旁边。结果开学来床帘被拆了，被子枕头上踩得全是黑脚印，一箱子护肤品也不见了 ,20200123-20200207
"
雀雀上面巴颗饭饭",要是遭了来就是，无所谓哟，反正你也没法。哈哈 ,20200123-20200207
"
我怂我窝囊",别转移话题，现在讨论的是征用学校征用宿舍！爆家地址，哈哈，你好搞笑，不过国家如果到了真征用家庭用房时那更是场面无法控制了，无法，征用吧 ,20200123-20200207
"
Start2021",希望你们的学校能保管好你们的私人物品 ,20200123-20200207
"
其实我就是最帅的","不要觉得您高人一等，请问您有啥优越感？？我怼的就是您所谓的""凭什么要别人放弃隐私权去挽救别人的生命健康""，这是人说的话？ ",20200123-20200207
"
Start2021",希望你们的东西能得到妥善保管 ,20200123-20200207
"
你看你这个秃脑袋呱呱呱呱",要不然您这类武汉务工人员的租房自愿上报住隔离病人吧，反正现在回不去房子空着也是空着，还不会像我们这些大学生这样委屈 ,20200123-20200207
"
你看你这个秃脑袋呱呱呱呱",？ ,20200123-20200207
"
你看你这个秃脑袋呱呱呱呱",知情权??????划重点 ,20200123-20200207
"
烤肉火锅薛之谦",你长点脑子好不好，你在啥都不知道的情况下，你家被搬空，你一回来里面全是病人，换你你怎么想 ,20200123-20200207
"
遵纪守法但不是什么好人",笑了，楼上评论可以证明，导员转移学生物品的时候翻出避孕套在院群公开嘲笑。而且我这边讨论的是怎么保证学生的隐私权，并没有说学生一定不能让宿舍，我怼的是我回复的那个评论自以为是的态度您能别打扰我了吗，有时间还不如多读点书。 ,20200123-20200207
"
烤肉火锅薛之谦",那你去给政府说啊，发微博哗众取宠的干嘛？马上打电话去给政府啊 ,20200123-20200207
"
烤肉火锅薛之谦",那把你家捐出来啊，踩着道德至高点说话就做点人事呗，要不只捐你家客厅也可以啊 ,20200123-20200207
"
其实我就是最帅的",那你也没办法自证征用宿舍就是侵犯隐私权，而且真的到威胁生命健康的地步，隐私权就一定要让步 ,20200123-20200207
"
BomusTra",除非搞封闭运输到其他地区 ,20200123-20200207
"
BomusTra",学校会处理学生的私人物品的吧？不过确实床位紧张，轻症患者太多了，武汉上万的患者……没办法，公共场所，企事业机关和招待所全征用了 ,20200123-20200207
"
BomusTra",你太逗了，当官的拿命去救人么？发布会就是为了及时对外通报消息而设立的，在你们这类人嘴里就这么不堪？ ,20200123-20200207
"
写丑字的小帅哥儿",政府肯定有能力强、为人民着想的官员啊，我并没有全盘否定吧，我只是说应该先考虑潜在风险和危害性没有那么大的！世界性军运村、体育馆、一些政府接待酒店等可以先考虑嘛？先来用呢？做什么决策和执行政策的时候接地气点，蛋糕做起来了切实的分好点，自己流油的地方先割点肉，我的瘦骨也愿意砍下来贡献 ,20200123-20200207
"
争啖气17194",我的意思是楼主他们抱怨一下可以理解，征用是肯定支持的。 ,20200123-20200207
"
八瓣格桑花V",作为大学生你这样说我能理解，比一些白眼狼好多了。征用没有问题，但是要保证大学生物品安全和卫生问题 ,20200123-20200207
"
遵纪守法但不是什么好人",前提是隐私权干扰生命健康，现在不是隐私权危害他人生命健康，而是生命健康要求隐私权让步来保证自己，真就圣母呗 ,20200123-20200207
"
根建烧烤一号端汤小工",用学生宿舍不大好吧… ,20200123-20200207
"
Fantastic橘子少女",那您敞开房门让病人拎包入住吧 ,20200123-20200207
"
其实我就是最帅的",来我们理性讨论一下，第一学校宿舍本就属于政府的，需要临时征用本就是合法合规，生命健康权绝对大于隐私权，在生命健康权面前隐私权什么都不是，在任何一个国家都是如此，你可以参考我国的法律诉讼，在我国生命健康权是首要权力，当两者有冲突的时候无论从伦理还是法理讨论隐私权都要让步。 ,20200123-20200207
"
八瓣格桑花V",是的，他妈的平什么征用。人不为己 天诛地灭。管那些人是死是活，反正自己活得好好就行了。 ,20200123-20200207
"
憨憨王店主牛女士",@张滚龙在熬鸡汤 ,20200123-20200207
"
骆马渔夫859",可以！只要政府征用我家！ ,20200123-20200207
"
帅娇啊哈",是是是 我们大学生都没脑子 您有脑子要不要让zf安排病人入住您家啊 ,20200123-20200207
"
在一年四季的风中凌乱",大概率开始换血了 ,20200123-20200207
"
小黄不慌hh",来来来????把你家捐出来 ,20200123-20200207
"
小凤凰与林疏",醉了，我交钱期间我也有份的，没文化 ,20200123-20200207
"
BERRYWEEN",是工作失职，但是不至于诅咒别人让别人以死谢罪吧 ,20200123-20200207
"
小橘重",肯定比你正义，如果发生了战争，要征用房子，肯定会捐出，绝不会像你这个可怜虫这样哭哭啼啼骂骂咧咧。只不过现在的问题是征用到了你的宿舍，所以你还是先解决你自己的问题吧 ,20200123-20200207
"
云生365",重点不应该征用了告知我们一声吗？ ,20200123-20200207
"
帅娇啊哈",你读书多怎么不把病人带你家去隔离 ,20200123-20200207
"
所以说CV都是怪物阿",难顶，之后该扔的扔，该换的换，好好消毒…… ,20200123-20200207
"
所以说CV都是怪物阿",我感觉真的会有人乱动东西或者拿东西的，林子大了什么鸟都有 ,20200123-20200207
"
爱美的青春",政府已经说了会保障好我不渴求你跟其他大学生那样给予支持，但希望你不要因为部分官员将政府说得这么险恶和不堪 ,20200123-20200207
"
夕夏归人愿清欢",我不相信你愿意丢掉你家所有财产去救一个相关的人（还不一定能救过来），这个比喻是有点极端，你要愿意当我没说。你要说救别人可以但为什么要让你舍弃家产，就理解我说看管好私人物品和救助别人不冲突的意思了， ,20200123-20200207
"
夕夏归人愿清欢",你理解了吗？ 别在那唱高调，我只是希望学校看好学生的东西别弄丢了弄坏了?不可以吗?我一直有说支持占用，学校看好东西就行，谁的钱也不是大风刮来的，凭什么人家做好事还要被丢东西?学校费点心看好东西那么难吗，和救助病人有冲突吗? ,20200123-20200207
"
一只路过的老猫",那些人只是因为来自疫区，患病的可能性很低，但是现在全是患者，全是确诊的患者。根本不能比好吗？ ,20200123-20200207
"
香蕉玛芬与红酒炖牛肉",我家是我的私有财产，宿舍是你的私有财产？？？ ,20200123-20200207
"
九三路25号",我本来是想喷你的，后来觉得没必要，删了，但是现在我简直为你觉得羞愧。我想你是没脑子，看不清如果疫情不控制，别说你的东西，你有没学上还是个问题呢？如果全国发生医疗挤兑，你以为你家人的生命安全能保证？在家没事多读点书，别这么愚蠢。你不用回复我了，我不想和傻子说话 ,20200123-20200207
"
一张_ZHANG",你是什么垃圾在这给我释放毒气，我没话语权，你有？？？人人平等没听过？人人都有话语权不知道？你这么义愤填膺，你有本事把几千个大学生的嘴都堵上啊？ ,20200123-20200207
"
丨梦七丨",哪来的沙币东西 滚出去 ,20200123-20200207
"
小凤凰与林疏",要不征用你家？怎么样 ,20200123-20200207
"
灰灰家的洋",人命重要化妆品重要？还只是吐槽一下，化妆品能跟人命相提并论，吐槽的资格都没有。该闭嘴的是你 ,20200123-20200207
"
夸我吗",你私聊我 ,20200123-20200207
"
云生365",对，比如你，没上大学所以不能感同身受是吧，说别人失败自己有多成功？连重点都没搞清楚也是搞笑 ,20200123-20200207
"
-Fiona__",我啥时候伪造了，脑癌病的不轻。 ,20200123-20200207
"
不染78965",你咋不让他们住你家啊，天天站着说话不腰疼，你怕是没上过大学吧 ,20200123-20200207
"
夕夏归人愿清欢",不是所有人都是圣母，人家担心财产安全一点儿问题也没有，所以请你闭嘴。 ,20200123-20200207
"
-Fiona__",啥？伪造？有病赶紧去治。 ,20200123-20200207
"
茗白白8019m4",@Michae1Scofield,20200123-20200207
"
茗白白8019m4",5.整个宿舍打包还是分个人打包，那就是你能够参与建议的环节了。假如，你的学校被征用，具体到你的宿舍被征用，你的建议是直接向学校传达的，物品如何清理，如何统一管理，你有合理的、周全的建议提出，保护自己的私有财产，是非常正当的。前面的都不是你要考虑的事情，这一条才是你需要细化思考的环节 ,20200123-20200207
"
Sakina",嗯嗯 加油吖！！ ,20200123-20200207
"
Michae1Scofield",您懂吗？ 无语 ,20200123-20200207
"
沉浸在回忆里2014",我挺喜欢江苏的，15年还去南京旅游了，如果不是考虑住家里不用交房租，不用自己做饭，江苏肯定是我的首选，疫情过去，我要好好规划一下职业了。 ,20200123-20200207
"
香蕉柠檬糖",他们不用你们的桌子床啊，你没看爆出来的图吗，只用了过道，其他东西全部在桌子那里用油布遮挡了。过道腾出来放床位，仅此而已啊 ,20200123-20200207
"
抹茶慕斯_小迷妹",差不多吧，心里有数就得了 ,20200123-20200207
"
茗白白8019m4",1.你在我并未针对你的情况下两条都是诅咒。2.首先是支持，这句没看到，只看到你要杀人 3.知情权并未剥夺，征用通知会由征用单位下发到被征用单位，流程清晰。4.患者活动范围、消毒工作、是否完全避免感染，是由专业人士进行验收评估，你既不参与验收，又不参与治疗，仅拥有宿舍使用权，用不着向你汇报 ,20200123-20200207
"
浅绿色de清新新",我记得很久之前就有人建议用党校 ,20200123-20200207
"
云生365",说真的，要是事先告知了一声还告诉我们处理方法也不会吐槽啊，我有些东西还放在桌上呢 ,20200123-20200207
"
Sakina",江苏江阴我们可能是地方小人口也少方便实施吧 都调侃江苏散装...连这种都不一致的哈哈哈 ,20200123-20200207
"
胡秃秃正在秃头的路上",OK，漏掉了 ,20200123-20200207
"
梦喜-Lee",这个时候了，不管哪里，只要是疫情需要都应该付出！ ,20200123-20200207
"
云生365",东西都被丢出来了 ,20200123-20200207
"
胡秃秃正在秃头的路上",对啊 ,20200123-20200207
"
雀雀上面巴颗饭饭",亲，全国人民都在帮助武汉好吗，你这种想法怕是有点自私吧，唉 ,20200123-20200207
"
小幸运呀lucky",看来脑袋也要消毒一下才行 ,20200123-20200207
"
杨6狼",早干嘛去了！！！！ ,20200123-20200207
"
抽三粒绿豆",你的寝室被征用了嘛？ ,20200123-20200207
"
饕餮妞妞198812",可以把学校的体育馆开辟出来 ,20200123-20200207
"
云生365",捐钱为国家出力和担心财产又不冲突 ,20200123-20200207
"
沉浸在回忆里2014",我是河南的，我们这儿没有这个措施，这个措施我知道上海，厦门，扬州还有几个地方有，但好像比较少，你是哪儿的呀，这么好，我都想去那儿发展了 ,20200123-20200207
"
抽三粒绿豆",我就是寝室被征用的学生其中之一，能不能不要带节奏了？比起多救一个人，和我的私人物品比起来，人更重要。多一个治愈的可能，我们的口罩就早一天放下来。如果你的寝室没有被征用，希望你不要再发表这样的言论。大家都是中国人，我很开心我能出一分力。 ,20200123-20200207
"
云生365",被征用了还没有事先告知也不知道处理的方法吐槽一下还不行吗 ,20200123-20200207
"
抽三粒绿豆",我就是寝室被征用的学生其中之一，能不能不要带节奏了？比起多救一个人，和我的私人物品比起来，人更重要。多一个治愈的可能，我们的口罩就早一天放下来。如果你的学校没有被征用，希望你不要再发表这样的言论。大家都是中国人，我很开心我能出一分力。 ,20200123-20200207
"
抽三粒绿豆",我就是被征用的学生其中之一，能不能不要带节奏了？比起多救一个人，和我的私人物品比起来，人更重要。多一个治愈的可能，我们的口罩就早一天放下来。如果你的学校没有被征用，希望你不要再发表这样的言论。大家都是中国人，我很开心我能出一分力。 ,20200123-20200207
"
抽三粒绿豆",晕，我就是被征用的学生其中之一，能不能不要带节奏了？比起多救一个人，和我的私人物品比起来，人更重要。多一个治愈的可能，我们的口罩就早一天放下来。如果你的学校没有被征用，希望你不要再发表这样的言论。大家都是中国人，我很开心我能出一分力。 ,20200123-20200207
"
甄若水",估计完球了 ,20200123-20200207
"
Sakina",天啊你们zf居然没有措施我们这边可以在本地app上预约，一个人一次买10个每个1.3元，身份证实名预约送到家里，虽然每天限量但是一天隔一天以身份证尾号单双限制，买过一次后几天内不能再次购买。。做得很完备了 ,20200123-20200207
"
云生365",能不能拿是一回事，但学生应该有知情权吧？我没说不让征用但是肯定想知道东西怎么被处理啊 ,20200123-20200207
"
云生365",担心个人财产问题叫蹭热度？那你下场发言了不也是蹭热度？别老站在道德制高点以为自己有多高尚，说别人恶毒无知自己又能好到哪里去？先把你的财产都捐了再来跟我说这话我还能佩服你一下 ,20200123-20200207
"
甄若水",拥护党的纲领，遵守党的章程，履行党员义务，执行党的决定，严守党的纪律，保守党的秘密，对党忠诚，积极工作，为共产主义奋斗终身，随时准备为党和人民牺牲一切，永不叛党。 ,20200123-20200207
"
帅的人有追求",还有一些倒灌进国内网络的大量煽动图文，非常密集，显然不是一两天就能准备好的，文字可真谓“文彩飞扬”，有排比句、有对比句，还有明喻、暗喻、重复、引申……连宗教布道者都拿李文亮作文章。 ,20200123-20200207
"
帅的人有追求",那些伪造救助文案者，你们还有什么人性？你们想达到什么目的？仅仅是经济动机吗？更可耻的是，它们却将自己扮成最关心李文亮，最关心李家人的“热心人”！ ,20200123-20200207
"
沈严__",随意吧 ,20200123-20200207
"
胖丁呀胖丁丁",为啥不征用宾馆我觉得宾馆不是更可以直接住宿吗，好像比清理学生宿舍更容易别说没钱，捐的那么多钱也该用出来了，对征用宿舍有想法的大部分是学生，喷别人的大部分不是当事人，学生没说不愿意，只是想有个知情权，学校属于公共教育资源，国家有权这么做，但是学生应该知道 ,20200123-20200207
"
甄若水",希望武汉这届大学生赶紧成材，替换掉这帮湖北武汉的官员，欺上瞒下耽误了多少人命 ,20200123-20200207
"
八九xiaofangfang",我哪里道德绑架了，只是觉得寒心，毕竟帮助是情分不帮是本分 ,20200123-20200207
"
Michae1Scofield",你这样说我可就要喷你了。首先我支持征用宿舍这是我一开始就说了，但是学生被剥夺了知情权，被损害了利益，还要被骂自私。一个宿舍几个患者？患者活动范围有多大？消毒工作如何保证？可以完全避免二次感染吗私人财产如何保护？是整个宿舍打包还是分个人打包？之后存放在哪里？这可不是个小数目。 ,20200123-20200207
"
Fantastic橘子少女",就是宿舍啊 ,20200123-20200207
"
Fantastic橘子少女",那让病人去你家啊 ,20200123-20200207
"
竹夜曦光871167220",湖北省长怎么还在呀，看他就生气! ,20200123-20200207
"
胖子斯多尔",牺牲牺牲，你以为这场疫情没有牺牲的话会自己过去吗？那些一线的医生护士专家们，他们难道不是牺牲了自己的时间、精力甚至于生命的代价来挽救生命？现在需要你的一个宿舍、一个床铺，你都在这里喊着无辜无辜，那让一线的人们多么心寒 ,20200123-20200207
"
亦岛岛-",您知识渊博，把您家征用了，没有意见吧？ ,20200123-20200207
"
亦岛岛-",请问把您家征用了，您开心吗？多大人了，换位思考都不懂 ,20200123-20200207
"
亦岛岛-",那现在搬空的宿舍楼是咋回事？ ,20200123-20200207
"
这歌少女不太冷丶",不涉及自己利益所有人都深明大义！医护人员站出来冲在一线的时候他们可有愤不平？私人物品比他人的生命还金贵是吧？现在的情况只比报道出来的还要严重，如果不是迫不得已会这么做？如果疫情还控制不下来还讲什么私人物品？还能继续上学？知道你们也许委屈，但是现在全国人民不是捂着伤口支持着武汉嘛？ ,20200123-20200207
"
亦岛岛-",已经有学生的寝室被搬空了朋友 ,20200123-20200207
"
亦岛岛-",你可能搞错了，人家是要把你的东西都扔出去。 ,20200123-20200207
"
那美丽的谜题何必追寻呢",大家都不上班了，吃??你都轮不上 ,20200123-20200207
"
可酱睡不饱",动了，我宿舍就被搬了 ,20200123-20200207
"
胡芳芳LucyHu",最近武汉想了各种办法，也得到了全国各地医疗队的增援来尽力收治病患，虽然确诊病例还在增加，但是大家都很有信心，恐慌感也少了许多??????#湖北省委党校新校区改造为定点医疗点# #湖北省委党校新校区将改造为定点医疗点# #职业体验师# #Lucy Hu的问答# #lucy hu#?????? ,20200123-20200207
"
知娱者",现在应该已经不是武汉政府在处理了，是中央在处理。中央肯定是希望快点处理完，不要耽误国家正常运行的。 ,20200123-20200207
"
耶-72141",一看就是没看完新闻。。党校新区和武汉市直属四所高校被征用 ,20200123-20200207
"
橘柑橙柠桔柚和你",已经用了，江汉大学南院 ,20200123-20200207
"
kuuiqw",怎么不把你家捐出来呢？ ,20200123-20200207
"
体面的大姑娘",有没有发现 最近出来讲话的都是副职领导 之前露脸的都不见了 ,20200123-20200207
"
KKKWIN-",你走的时候衣服这些贴身的不会就直接挂在外面吧不是应该好好的锁在衣柜里？疫情不控制你这些东西别说要了你学都上不了了，我明白你的心情，但是你说的话太片面了。就算提前通知了你能去把东西全部拿出来吗，学校也没有说把你东西全部扔掉。 ,20200123-20200207
"
梦黎De花落",建议办公室人群远程办公 ,20200123-20200207
"
有贼心没贼胆的老色批",武汉那么多酒店宾馆为什么不征用 ,20200123-20200207
"
是琪梦不是梦琪",我觉得那些牺牲的医生就是圣人，他们连命都付出了。 ,20200123-20200207
"
好一块美味的巧克力",我们说了不让住吗？别的学校都把学生物品保管好了清空入住，我们学校就拿个塑料布把桌子一围，我们学校发生过社会人士来我们学校盗窃的案件，一个寝室就丢了三四万的东西，结果后面不了了之，在这种前提下学校没有明示后续工作保障如何就先斩后奏，学生如何不担心？ ,20200123-20200207
"
阿播次的",你们大学课桌还能腾出来？牛批?? ,20200123-20200207
"
山水人淼淼",不太明白确诊的轻症患者这样都住在一起还不是会一直相互感染吗？ ,20200123-20200207
"
刘艳艳呀嘿",太对了 ,20200123-20200207
"
草泥马羊驼驼",嗯呢，别人的命，家庭的完整，没有他们一瓶Sk—2重要，能不心寒吗？ ,20200123-20200207
"
好一块美味的巧克力",你一句学校到时候会赔的，怎么赔？我们学校发生过社会人士来我们学校盗窃的案件，一个寝室就丢了三四万的东西，结果后面不了了之，在这种前提下学校没有明示后续工作保障如何就先斩后奏，学生如何不担心？ ,20200123-20200207
"
好一块美味的巧克力",国家培养我当然感谢，但我考上大学也是我自己的努力。而且我的主语是国家吗？往人头上戴高帽子你很擅长很快乐吗？ ,20200123-20200207
"
阿播次的",大学教室用不了，连放床的地方都没有。 ,20200123-20200207
"
草泥马羊驼驼",嗯呢，别人的命，家庭的完整，没有他们一瓶Sk—2值钱，可怕不。 ,20200123-20200207
"
帛七",真的，我们暑假搬寝室我丢了一个行李，里面有我喜欢的人给我写的信，我难过了好久不过后来辅导员联系我找到了 ,20200123-20200207
"
就你会逼逼赖赖",不是每个人都能接受，不要道德绑架 ,20200123-20200207
"
沉浸在回忆里2014",湖北不太可能，但其他省肯定要慢慢复工了，我们省是错峰复工。 ,20200123-20200207
"
小茹爱吃火锅",宝贝，是宿舍，想多了 ,20200123-20200207
"
天际边飘浮的云彩",自责的语无伦次，六个字要看好几次稿子， ,20200123-20200207
"
沉浸在回忆里2014",我觉得要是能买到口罩，做好消毒，相信大家不会太恐慌，可现在就是口罩买不到，小企业也做不到消毒，我们这边是错峰复工，想复工企业必须跟市政府报备，政府审核同意了才能复工。 ,20200123-20200207
"
好一块美味的巧克力",我们同意将宿舍改造成隔离病房，但不是像没有得力措施保证学生私人物品的安全情况下先斩后奏，最起码有学生也得有保障措施吧，到时候万一有人东西不见了如何申报？财务损失如何处理？都没有后续。 ,20200123-20200207
"
Michae1Scofield",我没有被气到啊 是评论的人啊 他们住的地方东西还在里面就被征用了 没有告知 东西也没有妥善处理 人家发出疑问 你上来就开始说人家没脑子 不为大局着想 敢情你是自己宿舍没征用 把别人的征用了 怪不得盛气凌人 ,20200123-20200207
"
我不哭lsc",那是因为占座吧 ,20200123-20200207
"
王小妖0313",你觉得一开始湖北领导能有这个脑子想出这个办法？就算想到了人家也不这么做的，人家还要参加团拜会呢 ,20200123-20200207
"
Vivian的豆奶粉",就怕有些病人手脚不干净 ,20200123-20200207
"
茗白白8019m4",姐妹，被气到的是你吧。我早就和我们学校建议了，我们学校有一栋独立卫浴的新建宿舍楼，十二层，入住率不高且在郊区。被征用也是挺好的。而且这种情况征男生宿舍的比例更高，你们叫什么。 ,20200123-20200207
"
EmeraldSunset",反对 ,20200123-20200207
"
Bomiritim",你怕是不知道这个病毒多可怕吧，华南海鲜市场消毒有好久了吧，现在还存在50%的新冠状病毒，学生宿舍确实是个好地方，但是你想想看，这个病毒要根本上清理掉真的很麻烦，而且在宿舍，这个病毒难免会碰到大大小小的东西，你能确保你可以清理干净?只要处理不好，学校很有可能再次感染，不是自私自利 ,20200123-20200207
"
猪猪兔饼",就是学生宿舍 我们学校就被征用了 不过东西会被清理出来 隔离完后也会消毒 ,20200123-20200207
"
Yiwexvhb",我也是，学校暑假安装空调热水器，我囤的一箱子护肤品和面膜都没了 ,20200123-20200207
"
茗白白8019m4",我是说这话的人？你少无差别攻击了。我们巴不得被征用这学期不去了呢洪体，武广，几个地方空旷的全都满了，国家被逼到征用学校的地步了，病患岂止确诊的这两万。你管财务干嘛，命不要了啊！至少下半年才回去吧！心放宽点，内忧外患，咱们那点东西再买就是，只要国家损失小，什么买不到。 ,20200123-20200207
"
我不哭lsc",说的太棒了 ,20200123-20200207
"
Michae1Scofield",把你气到了呀 怎么只允许你骂别人不允许别人骂你呢 你一个一个回复其他人累吗？ ,20200123-20200207
"
老夏的韵",虽然无力还是想说,20200123-20200207
"
销默笙",老哥可以的， ,20200123-20200207
"
美人兮圆夏",看完好嘛，四所直属高校 ,20200123-20200207
"
虽说不曰",学校一开始瞒着不让学生知道 我们辅导员冒着风险提前说了还被学校批评了 最后看大家都在讨论这事了就出来解释了一下 言辞含糊（截图在某个群里我已经懒得翻了） 也没说什么会负责 就通知了一下 ,20200123-20200207
"
美人兮圆夏",还有四所直属高校 ,20200123-20200207
"
0泣春风0",you can you up ,20200123-20200207
"
美人兮圆夏",看完好嘛，四所直属高校 ,20200123-20200207
"
销默笙",我有上升到国家层面么，有个人观点也不行么？嗯哼？三观不同莫回复，大家都累，各自保留看法不好么 ？ ,20200123-20200207
"
星星就不爱吃肉",@W-Banshee ,20200123-20200207
"
只想做个养生girl",支持楼主 ,20200123-20200207
"
茗白白8019m4",骂人的可是您这位“网络狠话放映机”呢你的马不在了，你再养就是了，有钱人，多养几匹。不能因为你的马不在了，就报复社会。还杀不杀的，你家马那么多，肯定是个贵族，死了一匹，还有很多。我们这些平民，家里是不养马的，一来没草原，二来它臭。你家就是因为马多，所以你不用开口都一股马粪味。 ,20200123-20200207
"
失联对讲机",我叫什么了？从始至终不一直都是宁这群圣母在叫？一有武汉大学生稍微有些不满宁不就蹦出来了？说得倒是轻巧学生还得专程从家跑到学校去就为了收拾个东西在征用之前招呼都不打一声 有关方面已经把学生东西用麻袋打包不知道丢哪去了 这些宁看到了？谁他妈不会瞎几把想啊想出来了宁倒是实施啊 ,20200123-20200207
"
天天酷酷跑跑",这tm都啥情况了，你瞎求了。作为是这样？？跪久了站不起来了？洗地有意思？挣了多少 ,20200123-20200207
"
只想做个养生girl",作为武汉的大学生，我也表示支持楼主，有一说一，因为之前学校装修就有那些装修工偷了宿舍的东西，而且东西还不便宜，作为一个家境普通的学生，确实很难接受这种行为，宿舍也是交钱才能住的，分数也是自己考进去的，只希望学校能够保障学生的知情权和基本利益，当然，为武汉出力住人进去完全支持 ,20200123-20200207
"
天天酷酷跑跑",是耻辱柱的耻辱！ ,20200123-20200207
"
八九xiaofangfang",这就看每个人的大局意识了 ,20200123-20200207
"
天天酷酷跑跑",那就可以来祸国殃民，你考上了不起，憨批。错了还不能让老百姓发声？如此牛皮哄哄，一伙的？ ,20200123-20200207
"
yu浓浓", 只想湖北省委省政府、武汉市委市政府相关领导以死谢罪，不作为失职渎职，祸国殃民、千古罪人！！ ,20200123-20200207
"
天天酷酷跑跑",当个人好嘛，洗地信息给了你多少 ,20200123-20200207
"
销默笙",每个人因为所处社会环境的不同，会有不同的看法，只能说慢慢走，慢慢看，言尽于此 ,20200123-20200207
"
茗白白8019m4",不好意思，我一条都没删过，哪一个字在骂人？ ,20200123-20200207
"
maitian2006",如果事不紧急政府这么做的话，你说的话也没错，但是现在是非常时期，大家都在争分夺秒抢救生命，那么在你眼里别人的命都没有你的知情权重要，这么说你自私也不过分 ,20200123-20200207
"
茗白白8019m4",你告诉我，zf确认征用，你叫有什么用？你的那点东西重要还是别人的命重要？你有本事，就仔细建议学生的财产安全尽可能的妥善处理，人员的安排、东西的归纳，你能够想到哪些方法将征用的政策尽可能的落实？我能够想到的是闭合空间上锁贴封条，开放空间进行整合存储。并已提交建议，你呢？你能想出来什么 ,20200123-20200207
"
Bomiritim",华南海鲜市场这几天消毒还存在有50%的新冠状病毒，如果说病人好了，离开后，宿舍里头还是存在病毒，消毒还要好久，那学生怎么办，大大小小的东西都有可能粘到病毒，不考虑隐私权的问题，学生的安全问题不重要吗? ,20200123-20200207
"
马毅ant",宁又在这里放什么猪屁呢？ ,20200123-20200207
"
小泥鳅的门牙",征用高校的，用体育馆，食堂，甚至是教学楼，别用宿舍不行吗？ ,20200123-20200207
"
摸虾中郎将",太多人想当然，考上公务员的都是干活的，有啥发言权利 ,20200123-20200207
"
xixi621y",他们不知道疫情再发展下去，他们连去学校的可能都没有 ,20200123-20200207
"
摸虾中郎将",在其位谋其职，做不到就要谢罪 ,20200123-20200207
"
考研不成功就不改昵称啊",你可能对私人场所理解过于狭隘了，他不属于每一个人，但他属于这些人组成的整体，我一直没有说个人有宿舍的管理权，宿舍管理权在学校，国家可以进行统一调配使用，但是你不能说宿舍不属于私人场所 ,20200123-20200207
"
我是盐酸呀",搬空之后？学生的东西怎么搬空？你能不能看下别人配备好的宿舍改装病房再来喷啊 ,20200123-20200207
"
清带西斋",有我们学校 ,20200123-20200207
"
清带西斋",我吐了我吐了我吐了 ,20200123-20200207
"
清带西斋",我吐了 ,20200123-20200207
"
咕噜噜吃太多",就是站着说话不腰疼 ,20200123-20200207
"
C_曹卫233",别跟她在这里浪费口水了，这些人就是觉得自己是高高在上的圣母，其实啥也不是 ,20200123-20200207
"
绯衣瑟瑟",@绯衣瑟瑟,20200123-20200207
"
姬殓今殇43129",而且后期消毒不干净学生住进去了就是拿自己的命在赌啊！而且用的普通大学你们才说大学生应该明事理，要是武大华科你们还会这么说？ ,20200123-20200207
"
那个吧噗",我昨天也是发表一下自己的想法就被一群人说我读书读哪里去了 ,20200123-20200207
"
回_憶-QL奇隆滙",站在道德制高点的优秀毕业学生们，希望疫情过后你们可以捐全部财产帮助学生补救放置在宿舍的物品。。。。要不然怎么配得上你们高尚的言论这样学生们绝对不担心宿舍被征用。 ,20200123-20200207
"
谁动了我的奇异果",是啊 考入公务员就相当于身陷囹圄 我身边的朋友考公务员的初心也都是为了能有个工作 但出了这次疫情 都义无反顾在第一线 什么体制都会有正反两面 你这一味的否认让我觉得有点偏激 ,20200123-20200207
"
庞沙利利",到时候政府会说一些冠冕堂皇的屁话来道德绑架你的，不会赔偿的要赔偿也说要发票 ，都久以前买的东西哪来的发票。。太无语了 ,20200123-20200207
